Competition,Game Number,Round,Division,Pay Class,Gender,Date,Time,Game Length,Venue,Court,Home Team,Home Club,Away Team,Away Club
SUNDAY U/23,204,20,Section 01,Seniors,Male,06/11/2022,20:15:00,40,WAV,2,SHORT KINGS,N/A,SOLWAY TITANS,SOLWAYBB
SUNDAY MIXED,205,20,Section 02 / 03,Seniors,Mixed,06/11/2022,20:15:00,40,WAV,3,DOOGIE HOWSER M.D. ,N/A,PALS,N/A
SUNDAY MIXED,206,20,Section 02 / 03,Seniors,Mixed,06/11/2022,20:15:00,40,WAV,5,808S AND FASTBREAKS,N/A,PINK PANTHERS,N/A
SUNDAY MIXED,207,20,Section 01,Seniors,Mixed,06/11/2022,20:15:00,40,WAV,6,ASHY DYNAMOS,ASHBURTON,TIMBERWOLVES KATZ,N/A
SUNDAY U/23,208,20,Section 01,Seniors,Male,06/11/2022,21:00:00,40,WAV,1,ANABOLIC TZATAIKI 23S,N/A,TOORAK TROUBLE-,TOORAK
SUNDAY U/23,209,20,Section 02,Seniors,Male,06/11/2022,21:00:00,40,WAV,2,DEVILS,N/A,MALVERN TIGERS SUMATRANS,MALVERN TIGERS
SUNDAY U/23,210,20,Section 02,Seniors,Male,06/11/2022,21:00:00,40,WAV,3,SOLWAY SWISH,N/A,WEATHER BOYS,N/A
SUNDAY MIXED,211,20,Section 02 / 03,Seniors,Mixed,06/11/2022,21:00:00,40,WAV,5,A.O.S.,N/A,STRIPES,N/A
SUNDAY MIXED,212,20,Section 01,Seniors,Mixed,06/11/2022,21:00:00,40,WAV,6,NUGGZ,N/A,REBELS,N/A
MONDAY MEN,213,20,Section 01,Seniors,Male,07/11/2022,18:30:00,40,WAV,1,A-TEAM,N/A,ASHY HUSKIES,ASHBURTON
MONDAY MEN,214,20,Section 03,Seniors,Male,07/11/2022,18:30:00,40,WAV,2,BALLAS,N/A,SOLWAY SLAMMERS,SOLWAYBB
MONDAY MEN,215,21,Section 04,Seniors,Male,07/11/2022,18:30:00,40,WAV,3,CBAA,N/A,T'EM UP,N/A
MONDAY MEN,216,20,Section 05,Seniors,Male,07/11/2022,18:30:00,40,WAV,4,KARDASHIAN KURSE,N/A,KELLY'S VOLLEYBALL TEAM,N/A
MONDAY MEN,217,20,Section 08,Seniors,Male,07/11/2022,18:30:00,40,WAV,5,LEBRONZO LAKERS,N/A,ZOOPER DOOPERS B,N/A
MONDAY MEN,218,20,Section 06,Seniors,Male,07/11/2022,18:30:00,40,WAV,6,MCKINNON LAKERS,N/A,SKOC YELLOW,SKOC
MONDAY MEN,219,20,Section 02,Seniors,Male,07/11/2022,18:45:00,40,ORC,1,COMBAT WOMBATS,N/A,MUNCHY PIRANHAS,N/A
MONDAY MEN,220,20,Section 10,Seniors,Male,07/11/2022,18:45:00,40,ORC,2,AMATEUR HOUR,N/A,SALAMANDERS,N/A
MONDAY MEN,221,20,Section 02,Seniors,Male,07/11/2022,19:15:00,40,WAV,1,SKOC BLUE,SKOC,SKOC SAINTS,SKOC
MONDAY MEN,222,21,Section 04,Seniors,Male,07/11/2022,19:15:00,40,WAV,2,ALPHA FROGS,N/A,MIAMI VICE,N/A
MONDAY MEN,223,20,Section 05,Seniors,Male,07/11/2022,19:15:00,40,WAV,3,RIM RATS,N/A,SLEEPING GIANTS,N/A
MONDAY MEN,224,20,Section 10,Seniors,Male,07/11/2022,19:15:00,40,WAV,4,BEMES,N/A,HOLEX,N/A
MONDAY MEN,225,20,Section 09,Seniors,Male,07/11/2022,19:15:00,40,WAV,5,COOKS N BAKERS,N/A,DUKE'S DOMINATORS,N/A
MONDAY MEN,226,20,Section 07,Seniors,Male,07/11/2022,19:15:00,40,WAV,6,GALACTIC BURRITOS,N/A,SAUCE GODS,N/A
MONDAY MEN,227,20,Section 03,Seniors,Male,07/11/2022,19:30:00,40,ORC,1,BLOUSES,N/A,STAR PLATINUM,N/A
MONDAY MEN,228,20,Section 08,Seniors,Male,07/11/2022,19:30:00,40,ORC,2,CULTURE,N/A,SAN ANTONIO SPUDS,N/A
MONDAY MEN,229,20,Section 01,Seniors,Male,07/11/2022,20:00:00,40,WAV,1,MAMBA,N/A,SKOC RED,SKOC
MONDAY MEN,230,20,Section 05,Seniors,Male,07/11/2022,20:00:00,40,WAV,2,MALVERN TIGERS SIBERIANS,MALVERN TIGERS,SKOC WHITE,SKOC
MONDAY MEN,231,20,Section 09,Seniors,Male,07/11/2022,20:00:00,40,WAV,3,JUST PLAY BATS,JUSTPLAY,MONDAY'S EXPERTS,N/A
MONDAY MEN,232,20,Section 08,Seniors,Male,07/11/2022,20:00:00,40,WAV,4,COSBY SWEATERS,N/A,OVERBUILT NERDS ,N/A
MONDAY MEN,233,20,Section 07,Seniors,Male,07/11/2022,20:00:00,40,WAV,5,SHAFT,N/A,VEGETABLEGUM,N/A
MONDAY MEN,234,20,Section 03,Seniors,Male,07/11/2022,20:00:00,40,WAV,6,NOTHING BUT NET,N/A,OLD SCHOOL,N/A
MONDAY MEN,235,21,Section 04,Seniors,Male,07/11/2022,20:15:00,40,ORC,1,2K'S,N/A,FURPHY PIRANHAS,N/A
MONDAY MEN,236,20,Section 06,Seniors,Male,07/11/2022,20:15:00,40,ORC,2,HOTTER THAN PHEONIX,N/A,SHOHUKU HIGH,N/A
MONDAY MEN,237,20,Section 02,Seniors,Male,07/11/2022,20:45:00,40,WAV,1,NO EYE DEERS,N/A,VICTORIOUS SECRET,N/A
MONDAY MEN,238,20,Section 03,Seniors,Male,07/11/2022,20:45:00,40,WAV,2,NECTAR OF THE GODS,N/A,SLOTHS,N/A
MONDAY MEN,239,20,Section 07,Seniors,Male,07/11/2022,20:45:00,40,WAV,3,DUKE DUKE 2,N/A,WOMBO COMBO,N/A
MONDAY MEN,240,20,Section 07,Seniors,Male,07/11/2022,20:45:00,40,WAV,4,TICKLES TESS,N/A,UNCLE DREW'D YOU,N/A
MONDAY MEN,241,20,Section 10,Seniors,Male,07/11/2022,20:45:00,40,WAV,5,REVERSE LA,N/A,SONICS (5),SONICS
MONDAY MEN,242,20,Section 06,Seniors,Male,07/11/2022,20:45:00,40,WAV,6,GRACE KELLY,N/A,REAL BRICKLAYERS,N/A
MONDAY MEN,243,20,Section 05,Seniors,Male,07/11/2022,21:00:00,40,ORC,1,WOJ BOMBS,N/A,THE ANSWER,N/A
MONDAY MEN,244,20,Section 07,Seniors,Male,07/11/2022,21:00:00,40,ORC,2,ALIVE IN THE QUADDIE,N/A,KINGS UNITED,N/A
MONDAY MEN,245,20,Section 01,Seniors,Male,07/11/2022,21:30:00,40,WAV,1,ALL BLACKS,N/A,ST BENEDICTS,N/A
MONDAY MEN,246,21,Section 04,Seniors,Male,07/11/2022,21:30:00,40,WAV,2,BUDDY GARRITYS,N/A,OLD MCKINNON GRYPHONS,N/A
MONDAY MEN,247,20,Section 10,Seniors,Male,07/11/2022,21:30:00,40,WAV,3,NEW BALANCE BRICKS,N/A,PURPLE COBRAS,N/A
MONDAY MEN,248,20,Section 06,Seniors,Male,07/11/2022,21:30:00,40,WAV,4,ASHWOOD SPORTS CLUB,N/A,CHADDY FROGS,N/A
MONDAY MEN,249,20,Section 08,Seniors,Male,07/11/2022,21:30:00,40,WAV,5,LA SCUDERIA,N/A,TMAS FOUNDATION,N/A
MONDAY MEN,250,20,Section 09,Seniors,Male,07/11/2022,21:30:00,40,WAV,6,KAREEM OF THE CROP,N/A,MONGEESE,N/A
MONDAY MEN,251,20,Section 01,Seniors,Male,07/11/2022,21:45:00,40,ORC,1,FLAGRANT,N/A,SPLASH,N/A
MONDAY MEN,252,20,Section 09,Seniors,Male,07/11/2022,21:45:00,40,ORC,2,OOF,N/A,MR DAMBROSI'S NONKERS ,N/A
MONDAY MEN,253,20,Section 08,Seniors,Male,07/11/2022,22:15:00,40,WAV,1,KLINGON,N/A,SKOC GOLD,SKOC
MONDAY MEN,254,20,Section 06,Seniors,Male,07/11/2022,22:15:00,40,WAV,2,SONICS (19),SONICS,ZOOPER DOOPERS,N/A
U16 GIRLS (S22-23),255,5,Division 1,Juniors,Female,08/11/2022,18:15:00,40,WAV,1,Tigers Red,MALVERN TIGERS,Timberwolves Rockets,TIMBERWOLVES
U16 GIRLS (S22-23),256,5,Division 2,Juniors,Female,08/11/2022,18:15:00,40,WAV,2,Solway Magic,SOLWAYBB,Tigers Yellow,MALVERN TIGERS
U16 GIRLS (S22-23),257,5,Division 1,Juniors,Female,08/11/2022,18:15:00,40,WAV,3,Solway Dream,SOLWAYBB,Solway Mystics,SOLWAYBB
U16 GIRLS (S22-23),258,5,Division 2,Juniors,Female,08/11/2022,18:15:00,40,WAV,4,Scorpions Suns,GLEN IRIS DISTRICT,Tigers White,MALVERN TIGERS
U16 GIRLS (S22-23),259,5,Division 1,Juniors,Female,08/11/2022,19:00:00,40,WAV,1,Solway Saints,SOLWAYBB,Tigers Black,MALVERN TIGERS
U16 GIRLS (S22-23),260,5,Division 2,Juniors,Female,08/11/2022,19:00:00,40,WAV,2,Scorpions Sixers,GLEN IRIS DISTRICT,Tigers Green,MALVERN TIGERS
U16 GIRLS (S22-23),261,5,Division 2,Juniors,Female,08/11/2022,19:00:00,40,WAV,3,Ashy Gold,ASHBURTON,Summerhill Park Pirnahas,CAULFIELD MALVERN
U18 GIRLS (S22-23),262,5,Section 01,Juniors,Female,08/11/2022,19:45:00,40,WAV,1,Solway Galaxy,SOLWAYBB,Solway Marvels,SOLWAYBB
U18 GIRLS (S22-23),263,5,Section 01,Juniors,Female,08/11/2022,19:45:00,40,WAV,2,Tigers Black,MALVERN TIGERS,Toorak T-Birds,TOORAK
TUESDAY WOMEN,264,19,Section 03,Seniors,Female,08/11/2022,19:45:00,40,WAV,3,SLAM DUNK DA FUNK,N/A,SOLMAMAS,SOLWAYBB
TUESDAY WOMEN,265,19,Section 01,Seniors,Female,08/11/2022,20:30:00,40,WAV,1,HEAT WAVES,N/A,MALVERN TIGERS (NEW),MALVERN TIGERS
TUESDAY WOMEN,266,19,Section 03,Seniors,Female,08/11/2022,20:30:00,40,WAV,2,OPPOSITION,N/A,VIBE,N/A
TUESDAY WOMEN,267,19,Section 02,Seniors,Female,08/11/2022,20:30:00,40,WAV,3,"HOOPS, I DID IT AGAIN",N/A,WHATEVER,N/A
TUESDAY WOMEN,268,19,Section 02,Seniors,Female,08/11/2022,20:30:00,40,WAV,4,HAIR JORDAN,N/A,SOJU SHOTS,N/A
TUESDAY WOMEN,269,19,Section 01,Seniors,Female,08/11/2022,21:15:00,40,WAV,1,MALVERN UNDERGRADS,MALVERN TIGERS,SONICS (20),SONICS
TUESDAY WOMEN,270,19,Section 01,Seniors,Female,08/11/2022,21:15:00,40,WAV,2,ILLUSION,N/A,SONICS (12),SONICS
TUESDAY WOMEN,271,19,Section 02,Seniors,Female,08/11/2022,21:15:00,40,WAV,3,JUST PLAY MAGIC,JUSTPLAY,SLAY-UPS,N/A
TUESDAY WOMEN,272,19,Section 03,Seniors,Female,08/11/2022,21:15:00,40,WAV,4,SCORPIONS 18s,N/A,WILDCATS,N/A
WEDNESDAY MEN,273,21,Section 03,Seniors,Male,09/11/2022,18:30:00,40,WAV,1,FREAKS,N/A,VILKAS,N/A
WEDNESDAY MEN,274,20,Section 04,Seniors,Male,09/11/2022,18:30:00,40,WAV,2,JAYHAWKS,N/A,LOOSE CANNONS,N/A
WEDNESDAY MEN,275,20,Section 06,Seniors,Male,09/11/2022,18:30:00,40,WAV,3,KEGS,N/A,MOOIES,N/A
WEDNESDAY MEN,276,20,Section 07,Seniors,Male,09/11/2022,18:30:00,40,WAV,4,BIN CHICKENS,N/A,CGE,N/A
WEDNESDAY MEN,277,20,Section 05,Seniors,Male,09/11/2022,18:30:00,40,WAV,5,CLOWN SHOES,N/A,U.E.S.,N/A
WEDNESDAY MEN,278,20,Section 01 / Section 02,Seniors,Male,09/11/2022,18:30:00,40,WAV,6,WEAPONS,N/A,PICKED LAST IN GYM CLASS,N/A
WEDNESDAY MEN,279,20,Section 08,Seniors,Male,09/11/2022,18:45:00,40,ORC,5,LETRASH,N/A,PHOENIX,N/A
WEDNESDAY MEN,280,20,Section 01 / Section 02,Seniors,Male,09/11/2022,19:15:00,40,WAV,1,DIRE WOLVES,N/A,RAZOR RAYS,N/A
WEDNESDAY MEN,281,20,Section 05,Seniors,Male,09/11/2022,19:15:00,40,WAV,2,GAME OF ZONES,N/A,HASBEENAS,N/A
WEDNESDAY MEN,282,20,Section 08,Seniors,Male,09/11/2022,19:15:00,40,WAV,3,BROWN MAMBAS,N/A,SWISHBUCKLERS,N/A
WEDNESDAY MEN,283,20,Section 06,Seniors,Male,09/11/2022,19:15:00,40,WAV,4,DAD BOD SQUAD,N/A,PETE & SONS,N/A
WEDNESDAY MEN,284,20,Section 07,Seniors,Male,09/11/2022,19:15:00,40,WAV,5,FLINT TROPIC,N/A,TEAM SKOOG,N/A
WEDNESDAY MEN,285,21,Section 03,Seniors,Male,09/11/2022,19:15:00,40,WAV,6,COLIN'S COWHERD'S,N/A,STAR PLATINUM 2,N/A
WEDNESDAY MEN,286,20,Section 04,Seniors,Male,09/11/2022,19:30:00,40,ORC,5,FROGS,N/A,RONY,N/A
WEDNESDAY MEN,287,20,Section 06,Seniors,Male,09/11/2022,20:00:00,40,WAV,3,FATCATS,N/A,GS YOUNG BOYS,N/A
WEDNESDAY MEN,288,20,Section 07,Seniors,Male,09/11/2022,20:00:00,40,WAV,4,BALLERS,N/A,CLAYTON CAVALIERS,N/A
WEDNESDAY MEN,289,21,Section 03,Seniors,Male,09/11/2022,20:00:00,40,WAV,5,BUNGA BUNGA,N/A,RICHMOND OILERS,N/A
WEDNESDAY MEN,290,20,Section 01 / Section 02,Seniors,Male,09/11/2022,20:00:00,40,WAV,6,SPACE JAM,N/A,LANE INVADERS,N/A
WEDNESDAY MEN,291,20,Section 05,Seniors,Male,09/11/2022,20:15:00,40,ORC,5,HORNETS,N/A,REDIRKULOUS,N/A
WEDNESDAY MEN,292,20,Section 08,Seniors,Male,09/11/2022,20:45:00,40,WAV,3,SONICS (4),SONICS,TWOOF,N/A
WEDNESDAY MEN,293,20,Section 04,Seniors,Male,09/11/2022,20:45:00,40,WAV,4,GHETTO GOATS,N/A,HUMDOGG & CO,N/A
WEDNESDAY MEN,294,20,Section 06,Seniors,Male,09/11/2022,20:45:00,40,WAV,5,BIG UNIT,N/A,MIAMI VICE 2,N/A
WEDNESDAY MEN,295,20,Section 01 / Section 02,Seniors,Male,09/11/2022,20:45:00,40,WAV,6,ALL GEAR NO GAME,N/A,BLACK LABEL,N/A
WEDNESDAY MEN,296,20,Section 07,Seniors,Male,09/11/2022,21:00:00,40,ORC,5,GLORY BOYZ,N/A,PARTIMEN,N/A
WEDNESDAY MEN,297,20,Section 04,Seniors,Male,09/11/2022,21:30:00,40,WAV,3,BBQ CHICKEN,N/A,PP SQUAD 2.0,N/A
WEDNESDAY MEN,298,20,Section 05,Seniors,Male,09/11/2022,21:30:00,40,WAV,4,TEAM HEAT,N/A,SKOC SILVER,SKOC
WEDNESDAY MEN,299,20,Section 08,Seniors,Male,09/11/2022,21:30:00,40,WAV,5,GOLDEN PANTHERS WHITE,N/A,MINIMAL BUCKETS,N/A
WEDNESDAY MEN,300,21,Section 03,Seniors,Male,09/11/2022,21:30:00,40,WAV,6,MOTOR CITY,N/A,WE WANT SMOKE,N/A
WEDNESDAY MEN,301,20,Section 06,Seniors,Male,09/11/2022,21:45:00,40,ORC,5,DOMS,N/A,SE MELBOURNE,N/A
WEDNESDAY MEN,302,20,Section 07,Seniors,Male,09/11/2022,22:15:00,40,WAV,3,AIR BALLERS,N/A,LONGARMS,N/A
WEDNESDAY MEN,303,20,Section 08,Seniors,Male,09/11/2022,22:15:00,40,WAV,4,FAIRFIELD SUPER KINGS,N/A,GOLDEN PANTHERS RED,N/A
THURSDAY MEN,304,20,Section 01,Seniors,Male,10/11/2022,18:30:00,40,WAV,1,GOONANS,N/A,SEMI BRO,N/A
THURSDAY MEN,305,20,Section 06,Seniors,Male,10/11/2022,18:30:00,40,WAV,2,BACKYARD BALLERS,N/A,BENGAL TIGERS,MALVERN TIGERS
THURSDAY MEN,306,20,Section 04,Seniors,Male,10/11/2022,18:30:00,40,WAV,3,COBRAS,N/A,TRIPPING BILLIES,N/A
THURSDAY MEN,307,20,Section 03,Seniors,Male,10/11/2022,18:30:00,40,WAV,5,NBA ALL SPUDS,N/A,PUMP FAKES,N/A
THURSDAY O'35,308,20,Section 01,Seniors,Male,10/11/2022,18:30:00,40,WAV,6,45ers,N/A,MESHOOGA BOOGA,N/A
THURSDAY MEN,309,20,Section 02,Seniors,Male,10/11/2022,19:15:00,40,WAV,1,MAN DURPHY'S,N/A,VINTAGE SOLWAY,N/A
THURSDAY MEN,310,20,Section 05,Seniors,Male,10/11/2022,19:15:00,40,WAV,2,OVERBUILT,N/A,THICC LOWRYS  ,N/A
THURSDAY MEN,311,20,Section 04,Seniors,Male,10/11/2022,19:15:00,40,WAV,3,REGULATORS,N/A,TERRY STUDIOS,N/A
THURSDAY MEN,312,20,Section 06,Seniors,Male,10/11/2022,19:15:00,40,WAV,5,SABRES,MALVERN TIGERS,TROPICS,N/A
THURSDAY O'35,313,20,Section 01,Seniors,Male,10/11/2022,19:15:00,40,WAV,6,NO HOOPERS,N/A,OLD PIRANHAS,N/A
THURSDAY MEN,314,20,Section 02,Seniors,Male,10/11/2022,20:00:00,40,WAV,1,GARY'S CHILDREN,N/A,G.I.SCORPIONS ,N/A
THURSDAY MEN,315,20,Section 04,Seniors,Male,10/11/2022,20:00:00,40,WAV,2,PARALLEL MULES,N/A,SPLASH RE,N/A
THURSDAY MEN,316,20,Section 06,Seniors,Male,10/11/2022,20:00:00,40,WAV,3,MT W,N/A,PANTHERS,N/A
THURSDAY O'35,317,20,Section 01,Seniors,Male,10/11/2022,20:00:00,40,WAV,5,ACEES,N/A,ICEBERGS,N/A
THURSDAY MEN,318,20,Section 03,Seniors,Male,10/11/2022,20:00:00,40,WAV,6,ANABOLIC TZATZIKI ,N/A,SNICKERS,N/A
THURSDAY MEN,319,20,Section 01,Seniors,Male,10/11/2022,20:45:00,40,WAV,1,COWBOYS,N/A,GURUS OF GO,N/A
THURSDAY MEN,320,20,Section 04,Seniors,Male,10/11/2022,20:45:00,40,WAV,2,NUGGZ,N/A,SOLWAY WOLVERINES,N/A
THURSDAY MEN,321,20,Section 05,Seniors,Male,10/11/2022,20:45:00,40,WAV,3,AIRBALLIN',N/A,W.E.V.,N/A
THURSDAY MEN,322,20,Section 06,Seniors,Male,10/11/2022,20:45:00,40,WAV,5,BALL WHEEL DRIVE,N/A,CHOPPERS RIGHTS,N/A
THURSDAY MEN,323,20,Section 02,Seniors,Male,10/11/2022,20:45:00,40,WAV,6,COULDNT CARE LESS,N/A,SOLWAY RAIDERS,N/A
THURSDAY MEN,324,20,Section 01,Seniors,Male,10/11/2022,21:30:00,40,WAV,1,MAILMEN,N/A,OLINDA BUSHRANGERS,N/A
THURSDAY MEN,325,20,Section 05,Seniors,Male,10/11/2022,21:30:00,40,WAV,2,CMBC,N/A,SWAT,N/A
THURSDAY O'35,326,20,Section 01,Seniors,Male,10/11/2022,21:30:00,40,WAV,3,COULDABEENS,MALVERN TIGERS,SRBI,N/A
THURSDAY MEN,327,20,Section 03,Seniors,Male,10/11/2022,21:30:00,40,WAV,5,KOOKIES + KAREEM,N/A,TURBO SQUAD,N/A
THURSDAY MEN,328,20,Section 02,Seniors,Male,10/11/2022,21:30:00,40,WAV,6,BISHOPS,N/A,DEFENDANTS,N/A
THURSDAY MEN,329,20,Section 04,Seniors,Male,10/11/2022,22:15:00,40,WAV,1,ELEPHONE,N/A,SKOC SHAMANS,SKOC
THURSDAY MEN,330,20,Section 06,Seniors,Male,10/11/2022,22:15:00,40,WAV,2,PARKHILL PIRANHAS,N/A,ASHY SILVERBACKS,N/A
